app_id,title,score,ratings,reviews,installs,country,bank_code,bank_name
com.combanketh.mobilebanking,Commercial Bank of Ethiopia,4.3246717,38806,8329,"5,000,000+",et,CBE,Commercial Bank of Ethiopia
com.boa.boaMobileBanking,BoA Mobile,4.191456,6314,1216,"1,000,000+",et,BOA,Bank of Abyssinia
com.dashen.dashensuperapp,Dashen Bank,4.1466665,3886,769,"1,000,000+",et,DASHEN,Dashen Bank
