review_id,clean_text,keywords,identified_themes,bank_name,rating
a98b2177-e8cf-4818-aa1b-82a1e80df07b,the app is constantly crashing and freezing when to send to boa customers' accounts.,"constantly crash, boa customer, app constantly crash, app constantly, constantly, freeze, send, customer, crash, boa","Account Access Issues, Customer Support, App Reliability & Bugs",Bank of Abyssinia,1
421ae4df-7a88-426e-b355-1a437f7f8f3f,the worst banking app,"bad banking app, bad banking, banking app, bad, banking, app",Mobile Banking Features,Bank of Abyssinia,1
b56a3452-b7ca-4299-a268-8bb9e84fb3c5,no work app,"work app, work, app",Mobile Banking Features,Bank of Abyssinia,5
95a7177d-a323-4a17-98ad-9f94ea147686,the poorest mobile banking survice ever. only error reports frequently,"poor mobile banking, poor mobile, report, survice, frequently, error, poor, mobile banking, mobile, banking","App Reliability & Bugs, Mobile Banking Features",Bank of Abyssinia,1
37ed81e2-a945-49be-b1fb-0527a4f8a21d,excellent,excellent,Customer Support,Bank of Abyssinia,5
b1ec9a7a-5962-45c7-ac3a-0043f8a96f9e,it is not working at all,work,App Reliability & Bugs,Bank of Abyssinia,1
29aa3b3c-e4c7-41c7-bbb1-5d514633c307,"worst app. it is wise to invest money and you can make it like cbe app. even the incon has no image. my app has better ui than yours. so, please invest more and hire professional developer companies and improve it.","invest, like cbe app, image, hire, professional, like cbe, wise, company, cbe app, app","User Interface & Experience, Customer Support, Mobile Banking Features",Bank of Abyssinia,1
d7ee5d77-4c89-4e81-a79d-000f5e23c3ac,the previous application is much better than this one,"previous, application",Mobile Banking Features,Bank of Abyssinia,1
2a2d15cb-06ba-425c-a417-2f020e552505,crashes very frequently is not stable overall need improvement such a huge bank needs a better app than the current one,"need, need app, crash frequently, bank need, stable, current, need improvement, huge, frequently, improvement","App Reliability & Bugs, Mobile Banking Features",Bank of Abyssinia,1
481a1e89-df8b-43d4-9bf7-aa4a5cd196f5,the app is not working on android 9.1 at all. it shows an error notification and forcefully closes the app. must be fixed asap.,"error notification, work android, notification, close app, fix asap, asap, close, android, error, app work","App Reliability & Bugs, Mobile Banking Features",Bank of Abyssinia,1
e090fd59-6274-4827-8c79-644c6a1f5c73,i have experiance,,General Feedback,Bank of Abyssinia,5
0b4b949e-9c50-4262-9b4a-fcdd563921ea,is not working both this one and apollo did u make it better pls am gonne stop using this bank because of the mobile banking,"stop bank, bank mobile banking, bank mobile, apollo, pls, stop, mobile banking, mobile, banking, work","App Reliability & Bugs, Mobile Banking Features",Bank of Abyssinia,1
55a9b559-0322-409d-9973-ebd1f7b5595b,ahmed mohammed husen,"mohammed, husen, ahmed",General Feedback,Bank of Abyssinia,3
3c4112db-f5c6-4d6c-9df2-de29043c5c14,we want international mobile banking,"international, want, mobile banking, mobile, banking",Mobile Banking Features,Bank of Abyssinia,1
01c3d316-3dbc-4e5c-9a71-8ed4fecc7233,"screenshot isn't working, please modify it","screenshot, work",User Interface & Experience,Bank of Abyssinia,2
ac10c99a-bbe4-4a0c-92c3-14e312356969,naziriet measho 89160437,,General Feedback,Bank of Abyssinia,1
22a3c388-07da-4c4b-bfb4-4cfc882733f0,okay,okay,General Feedback,Bank of Abyssinia,5
b6e1b58d-d5d6-4134-b837-32c4833850ae,it usually crashes and the reason it gives is a problem on internet connection although the internet was fine.,"internet, internet connection, usually crash, usually, reason, fine, connection, problem, crash",App Reliability & Bugs,Bank of Abyssinia,1
d013e7a7-f3ca-47ec-a3e9-84c741e47b7a,fix your apollo you guys where the best,"guy good, apollo, guy, fix, good",App Reliability & Bugs,Bank of Abyssinia,1
d3a4d1b9-9b82-4760-bd5d-ae4fd3232750,always slow and doesn't work on weekends if you are in a rush or a merchant this app is not for you,"weekend, slow work, merchant, slow, work, app","Transaction Performance, Mobile Banking Features",Bank of Abyssinia,1
f9d522b2-ef61-43ea-bdff-9ccf70b88498,poor application. it turned off by itself,"turn, poor, application",Mobile Banking Features,Bank of Abyssinia,1
ec8fcf0d-19d7-446f-bd1e-907f91a67b49,"it's very difficult to use the user, app,ones dawenload the user can't operate well , no one can help me,","user, use user, operate, user app, difficult, help, use, app","Customer Support, Mobile Banking Features, Fees & Charges",Bank of Abyssinia,1
b209e7d6-5e6b-41ca-9658-be1a2a635ccc,corrupted and poor app,"poor app, poor, app",Mobile Banking Features,Bank of Abyssinia,1
39a442aa-c19f-46d0-96f4-fa8efcc622a2,good,good,General Feedback,Bank of Abyssinia,1
a8eadd54-7005-491c-ae8a-126d371abc3b,nice,nice,General Feedback,Bank of Abyssinia,5
1920d8a2-4e03-4818-8a69-7c17c565ae75,when i try to use the application it says 'developer setting should be off' where is the setting to off this play still doesn't work for me,"setting, use application, developer setting, say, developer, try, application, use, work",Mobile Banking Features,Bank of Abyssinia,3
06f1e24f-10fc-461b-862c-180fb9acf4f4,this app didn't work they have a new version new app but still not compatible with my samsung which is v. funny,"new, new version, app compatible, new app, samsung, compatible, version, app work, app, work",Mobile Banking Features,Bank of Abyssinia,1
c8c1d8d1-5304-4e81-a052-f7437a7b341e,"is this app fake i try it not working it say please try again later, unable to make transactions what is the purpose of this app . if it is not working delete it","try, try work, later, fake, delete, app fake, work, unable, app work, transaction","App Reliability & Bugs, Transaction Performance, Mobile Banking Features",Bank of Abyssinia,1
a185087f-8a27-444a-8646-23f7ab69b205,uselss app dont download,"download, app",Mobile Banking Features,Bank of Abyssinia,1
76284991-7522-4b59-8bec-ac7afb9b54f0,not active,active,General Feedback,Bank of Abyssinia,1
5b46e22e-c7a6-4a66-bd2c-5976bd9a46f9,to get good quality,"quality, good",General Feedback,Bank of Abyssinia,5
e960ae7a-6e14-47e3-83d2-2d9b3f666a01,it can't even open and only display error messages,"display, message, error, open","User Interface & Experience, App Reliability & Bugs, Mobile Banking Features",Bank of Abyssinia,1
3caf7a29-584d-4d26-b615-ed88a0be9da6,the worst app,"bad app, bad, app",Mobile Banking Features,Bank of Abyssinia,1
afb68110-3c87-47e8-9fa4-f6cff18e67ea,nays,,General Feedback,Bank of Abyssinia,5
