scope,category,total_reviews,positive_percentage,neutral_percentage,negative_percentage,avg_sentiment_score
overall,all,1615,61.23839009287926,0.0,38.76160990712074,0.22727043230098098
by_rating,rating_1,383,10.704960835509137,,89.29503916449086,-0.7812953757866244
by_rating,rating_2,60,20.0,,80.0,-0.5897381494442622
by_rating,rating_3,82,35.36585365853659,,64.63414634146342,-0.29138695902940703
by_rating,rating_4,102,58.82352941176471,,41.17647058823529,0.17066729945294998
by_rating,rating_5,988,85.72874493927125,,14.271255060728743,0.7167488179708782
by_bank,Bank of Abyssinia,529,44.045368620037806,,55.954631379962194,-0.11662643967594226
by_bank,Dashen Bank,543,71.63904235727439,,28.360957642725598,0.4348504262295437
by_bank,Commercial Bank of Ethiopia,543,67.58747697974218,,32.41252302025783,0.3547207243315203
